Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"ActualRegisterTitle = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_Register_Title""))",Firefox 127.0,,,05-07-2024 13:52:08,05-07-2024 13:52:08,0.437s,PASSED
"ExpectedRegisterTitle = ""Register""",Firefox 127.0,,,05-07-2024 13:52:08,05-07-2024 13:52:08,0.001s,PASSED
"verifyMatch(ActualRegisterTitle, ExpectedRegisterTitle, false)",Firefox 127.0,,,05-07-2024 13:52:08,05-07-2024 13:52:08,0.002s,PASSED
"println(""The title is Register"")",Firefox 127.0,,,05-07-2024 13:52:08,05-07-2024 13:52:08,0.001s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_name""), fullname)",Firefox 127.0,,,05-07-2024 13:52:08,05-07-2024 13:52:09,0.466s,PASSED
"println(""The fullname should be filled"")",Firefox 127.0,,,05-07-2024 13:52:09,05-07-2024 13:52:09,0.001s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_email""), email)",Firefox 127.0,,,05-07-2024 13:52:09,05-07-2024 13:52:09,0.468s,PASSED
"println(""The email should be filled"")",Firefox 127.0,,,05-07-2024 13:52:09,05-07-2024 13:52:09,0.000s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password""), password)",Firefox 127.0,,,05-07-2024 13:52:09,05-07-2024 13:52:09,0.242s,PASSED
"println(""The password should be filled"")",Firefox 127.0,,,05-07-2024 13:52:09,05-07-2024 13:52:09,0.000s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password_confirmation""), confirmpassword)",Firefox 127.0,,,05-07-2024 13:52:09,05-07-2024 13:52:10,0.248s,PASSED
"println(""The confirm password should be filled"")",Firefox 127.0,,,05-07-2024 13:52:10,05-07-2024 13:52:10,0.001s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_btn login_btn""))",Firefox 127.0,,,05-07-2024 13:52:10,05-07-2024 13:52:10,0.460s,PASSED
"println(""The login button should be clickable"")",Firefox 127.0,,,05-07-2024 13:52:10,05-07-2024 13:52:10,0.001s,PASSED
ActualInvalidEmailPage = getUrl(),Firefox 127.0,,,05-07-2024 13:52:10,05-07-2024 13:52:10,0.006s,PASSED
"ExpectedInvalidEmailPage = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 127.0,,,05-07-2024 13:52:10,05-07-2024 13:52:10,0.000s,PASSED
"verifyMatch(ActualInvalidEmailPage, ExpectedInvalidEmailPage, false)",Firefox 127.0,,,05-07-2024 13:52:10,05-07-2024 13:52:10,0.001s,PASSED
"takeScreenshot(""C:\Taskbuddy\InvalidEmail.png"")",Firefox 127.0,,,05-07-2024 13:52:10,05-07-2024 13:52:10,0.432s,PASSED
Start listener action : AfterTestCase,Firefox 127.0,,,05-07-2024 13:52:10,05-07-2024 13:52:11,0.857s,PASSED
,,,,,,,
Test Cases/Registration/TC003_Create a new account with invalid password,Firefox 127.0,,,05-07-2024 13:52:11,05-07-2024 13:52:19,8.139s,PASSED
Start listener action : BeforeTestCase,Firefox 127.0,,,05-07-2024 13:52:11,05-07-2024 13:52:13,1.926s,PASSED
