Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Register""))",Firefox 122.0,,,05-07-2024 21:24:08,05-07-2024 21:24:12,4.511s,PASSED
ActualRegisterUrl = getUrl(),Firefox 122.0,,,05-07-2024 21:24:12,05-07-2024 21:24:12,0.044s,PASSED
"ExpectedRegisterUrl = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 122.0,,,05-07-2024 21:24:12,05-07-2024 21:24:12,0.007s,PASSED
"verifyMatch(ActualRegisterUrl, ExpectedRegisterUrl, false)",Firefox 122.0,,,05-07-2024 21:24:12,05-07-2024 21:24:12,0.012s,PASSED
"println(""The url is correct"")",Firefox 122.0,,,05-07-2024 21:24:12,05-07-2024 21:24:12,0.004s,PASSED
"ActualRegisterTitle = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_Register_Title""))",Firefox 122.0,,,05-07-2024 21:24:12,05-07-2024 21:24:13,0.285s,PASSED
"ExpectedRegisterTitle = ""Register""",Firefox 122.0,,,05-07-2024 21:24:13,05-07-2024 21:24:13,0.003s,PASSED
"verifyMatch(ActualRegisterTitle, ExpectedRegisterTitle, false)",Firefox 122.0,,,05-07-2024 21:24:13,05-07-2024 21:24:13,0.008s,PASSED
"println(""The title is Register"")",Firefox 122.0,,,05-07-2024 21:24:13,05-07-2024 21:24:13,0.002s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_name""), fullname)",Firefox 122.0,,,05-07-2024 21:24:13,05-07-2024 21:24:13,0.583s,PASSED
"println(""The fullname should be filled"")",Firefox 122.0,,,05-07-2024 21:24:13,05-07-2024 21:24:13,0.004s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_email""), email)",Firefox 122.0,,,05-07-2024 21:24:13,05-07-2024 21:24:14,0.584s,PASSED
"println(""The email should be filled"")",Firefox 122.0,,,05-07-2024 21:24:14,05-07-2024 21:24:14,0.006s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password""), password)",Firefox 122.0,,,05-07-2024 21:24:14,05-07-2024 21:24:14,0.321s,PASSED
"println(""The password should be filled"")",Firefox 122.0,,,05-07-2024 21:24:14,05-07-2024 21:24:14,0.003s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password_confirmation""), confirmpassword)",Firefox 122.0,,,05-07-2024 21:24:14,05-07-2024 21:24:14,0.292s,PASSED
"println(""The confirm password should be filled"")",Firefox 122.0,,,05-07-2024 21:24:14,05-07-2024 21:24:14,0.003s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_btn login_btn""))",Firefox 122.0,,,05-07-2024 21:24:14,05-07-2024 21:24:15,0.512s,PASSED
"println(""The login button should be clickable"")",Firefox 122.0,,,05-07-2024 21:24:15,05-07-2024 21:24:15,0.003s,PASSED
ActualInvalidEmailPage = getUrl(),Firefox 122.0,,,05-07-2024 21:24:15,05-07-2024 21:24:15,0.013s,PASSED
"ExpectedInvalidEmailPage = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 122.0,,,05-07-2024 21:24:15,05-07-2024 21:24:15,0.003s,PASSED
"verifyMatch(ActualInvalidEmailPage, ExpectedInvalidEmailPage, false)",Firefox 122.0,,,05-07-2024 21:24:15,05-07-2024 21:24:15,0.009s,PASSED
"takeScreenshot(""C:\Taskbuddy\InvalidEmail.png"")",Firefox 122.0,,,05-07-2024 21:24:15,05-07-2024 21:24:16,0.840s,PASSED
Start listener action : AfterTestCase,Firefox 122.0,,,05-07-2024 21:24:16,05-07-2024 21:24:17,1.624s,PASSED
,,,,,,,
Test Cases/Registration/TC003_Create a new account with invalid password,Firefox 122.0,,,05-07-2024 21:24:18,05-07-2024 21:24:35,17.801s,PASSED
Start listener action : BeforeTestCase,Firefox 122.0,,,05-07-2024 21:24:18,05-07-2024 21:24:22,4.591s,PASSED
navigateToUrl(URL),Firefox 122.0,,,05-07-2024 21:24:22,05-07-2024 21:24:27,4.133s,PASSED
ActualURL = getUrl(),Firefox 122.0,,,05-07-2024 21:24:27,05-07-2024 21:24:27,0.022s,PASSED
"ExpectedURL = ""https://task-buddy-d414881265e1.herokuapp.com/""",Firefox 122.0,,,05-07-2024 21:24:27,05-07-2024 21:24:27,0.001s,PASSED
"verifyMatch(ActualURL, ExpectedURL, false)",Firefox 122.0,,,05-07-2024 21:24:27,05-07-2024 21:24:27,0.003s,PASSED
"println(""The website is accessible"")",Firefox 122.0,,,05-07-2024 21:24:27,05-07-2024 21:24:27,0.010s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Register""))",Firefox 122.0,,,05-07-2024 21:24:27,05-07-2024 21:24:31,4.579s,PASSED
ActualRegisterUrl = getUrl(),Firefox 122.0,,,05-07-2024 21:24:31,05-07-2024 21:24:31,0.013s,PASSED
"ExpectedRegisterUrl = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 122.0,,,05-07-2024 21:24:31,05-07-2024 21:24:31,0.001s,PASSED
"verifyMatch(ActualRegisterUrl, ExpectedRegisterUrl, false)",Firefox 122.0,,,05-07-2024 21:24:31,05-07-2024 21:24:31,0.004s,PASSED
"println(""The url is correct"")",Firefox 122.0,,,05-07-2024 21:24:31,05-07-2024 21:24:31,0.001s,PASSED
"ActualRegisterTitle = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_Register_Title""))",Firefox 122.0,,,05-07-2024 21:24:31,05-07-2024 21:24:31,0.298s,PASSED
"ExpectedRegisterTitle = ""Register""",Firefox 122.0,,,05-07-2024 21:24:31,05-07-2024 21:24:31,0.001s,PASSED
"verifyMatch(ActualRegisterTitle, ExpectedRegisterTitle, false)",Firefox 122.0,,,05-07-2024 21:24:31,05-07-2024 21:24:31,0.003s,PASSED
"println(""The title is Register"")",Firefox 122.0,,,05-07-2024 21:24:31,05-07-2024 21:24:31,0.003s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_name""), fullname)",Firefox 122.0,,,05-07-2024 21:24:31,05-07-2024 21:24:32,0.564s,PASSED
"println(""The fullname should be filled"")",Firefox 122.0,,,05-07-2024 21:24:32,05-07-2024 21:24:32,0.002s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_email""), email)",Firefox 122.0,,,05-07-2024 21:24:32,05-07-2024 21:24:33,0.574s,PASSED
"println(""The email should be filled"")",Firefox 122.0,,,05-07-2024 21:24:33,05-07-2024 21:24:33,0.001s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password_confirmation""), confirmpassword)",Firefox 122.0,,,05-07-2024 21:24:33,05-07-2024 21:24:33,0.279s,PASSED
"println(""The confirm password should be filled"")",Firefox 122.0,,,05-07-2024 21:24:33,05-07-2024 21:24:33,0.002s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_btn login_btn""))",Firefox 122.0,,,05-07-2024 21:24:33,05-07-2024 21:24:33,0.502s,PASSED
"println(""The login button should be clickable"")",Firefox 122.0,,,05-07-2024 21:24:33,05-07-2024 21:24:33,0.002s,PASSED
ActualInvalidPasswordPage = getUrl(),Firefox 122.0,,,05-07-2024 21:24:33,05-07-2024 21:24:33,0.010s,PASSED
"ExpectedInvalidPasswordPage = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 122.0,,,05-07-2024 21:24:33,05-07-2024 21:24:33,0.001s,PASSED
"verifyMatch(ActualInvalidPasswordPage, ExpectedInvalidPasswordPage, false)",Firefox 122.0,,,05-07-2024 21:24:33,05-07-2024 21:24:33,0.004s,PASSED
"takeScreenshot(""C:\Taskbuddy\InvalidPassword.png"")",Firefox 122.0,,,05-07-2024 21:24:33,05-07-2024 21:24:34,0.619s,PASSED
Start listener action : AfterTestCase,Firefox 122.0,,,05-07-2024 21:24:34,05-07-2024 21:24:35,1.286s,PASSED
,,,,,,,
Test Cases/Registration/TC004_Create a new account with with confirm password does not match with password,Firefox 122.0,,,05-07-2024 21:24:35,05-07-2024 21:24:54,18.307s,PASSED
Start listener action : BeforeTestCase,Firefox 122.0,,,05-07-2024 21:24:35,05-07-2024 21:24:39,3.713s,PASSED
navigateToUrl(URL),Firefox 122.0,,,05-07-2024 21:24:39,05-07-2024 21:24:44,4.105s,PASSED
ActualURL = getUrl(),Firefox 122.0,,,05-07-2024 21:24:44,05-07-2024 21:24:44,0.029s,PASSED
"ExpectedURL = ""https://task-buddy-d414881265e1.herokuapp.com/""",Firefox 122.0,,,05-07-2024 21:24:44,05-07-2024 21:24:44,0.001s,PASSED
"verifyMatch(ActualURL, ExpectedURL, false)",Firefox 122.0,,,05-07-2024 21:24:44,05-07-2024 21:24:44,0.003s,PASSED
"println(""The website is accessible"")",Firefox 122.0,,,05-07-2024 21:24:44,05-07-2024 21:24:44,0.001s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Register""))",Firefox 122.0,,,05-07-2024 21:24:44,05-07-2024 21:24:48,4.208s,PASSED
ActualRegisterUrl = getUrl(),Firefox 122.0,,,05-07-2024 21:24:48,05-07-2024 21:24:48,0.016s,PASSED
"ExpectedRegisterUrl = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 122.0,,,05-07-2024 21:24:48,05-07-2024 21:24:48,0.001s,PASSED
"verifyMatch(ActualRegisterUrl, ExpectedRegisterUrl, false)",Firefox 122.0,,,05-07-2024 21:24:48,05-07-2024 21:24:48,0.003s,PASSED
"println(""The url is correct"")",Firefox 122.0,,,05-07-2024 21:24:48,05-07-2024 21:24:48,0.001s,PASSED
"ActualRegisterTitle = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_Register_Title""))",Firefox 122.0,,,05-07-2024 21:24:48,05-07-2024 21:24:48,0.293s,PASSED
"ExpectedRegisterTitle = ""Register""",Firefox 122.0,,,05-07-2024 21:24:48,05-07-2024 21:24:48,0.001s,PASSED
"verifyMatch(ActualRegisterTitle, ExpectedRegisterTitle, false)",Firefox 122.0,,,05-07-2024 21:24:48,05-07-2024 21:24:48,0.003s,PASSED
