Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,Firefox 122.0,,,08-07-2024 15:30:59,08-07-2024 15:34:32,3m - 32.938s,PASSED
,,,,,,,
Test Cases/Registration/TC001_Create a new account successful,Firefox 122.0,,,08-07-2024 15:31:00,08-07-2024 15:31:22,22.198s,PASSED
Start listener action : BeforeTestCase,Firefox 122.0,,,08-07-2024 15:31:00,08-07-2024 15:31:05,5.352s,PASSED
navigateToUrl(URL),Firefox 122.0,,,08-07-2024 15:31:06,08-07-2024 15:31:10,4.619s,PASSED
ActualURL = getUrl(),Firefox 122.0,,,08-07-2024 15:31:10,08-07-2024 15:31:10,0.056s,PASSED
"ExpectedURL = ""https://task-buddy-d414881265e1.herokuapp.com/""",Firefox 122.0,,,08-07-2024 15:31:10,08-07-2024 15:31:10,0.003s,PASSED
"verifyMatch(ActualURL, ExpectedURL, false)",Firefox 122.0,,,08-07-2024 15:31:10,08-07-2024 15:31:11,0.213s,PASSED
"println(""The website is accessible"")",Firefox 122.0,,,08-07-2024 15:31:11,08-07-2024 15:31:11,0.041s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Register""))",Firefox 122.0,,,08-07-2024 15:31:11,08-07-2024 15:31:15,4.119s,PASSED
ActualRegisterUrl = getUrl(),Firefox 122.0,,,08-07-2024 15:31:15,08-07-2024 15:31:15,0.058s,PASSED
"ExpectedRegisterUrl = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 122.0,,,08-07-2024 15:31:15,08-07-2024 15:31:15,0.010s,PASSED
"verifyMatch(ActualRegisterUrl, ExpectedRegisterUrl, false)",Firefox 122.0,,,08-07-2024 15:31:15,08-07-2024 15:31:15,0.015s,PASSED
"println(""The url is correct"")",Firefox 122.0,,,08-07-2024 15:31:15,08-07-2024 15:31:15,0.005s,PASSED
"ActualRegisterTitle = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_Register_Title""))",Firefox 122.0,,,08-07-2024 15:31:15,08-07-2024 15:31:15,0.395s,PASSED
"ExpectedRegisterTitle = ""Register""",Firefox 122.0,,,08-07-2024 15:31:15,08-07-2024 15:31:15,0.003s,PASSED
"verifyMatch(ActualRegisterTitle, ExpectedRegisterTitle, false)",Firefox 122.0,,,08-07-2024 15:31:15,08-07-2024 15:31:15,0.007s,PASSED
"println(""The title is Register"")",Firefox 122.0,,,08-07-2024 15:31:15,08-07-2024 15:31:15,0.005s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_name""), fullname)",Firefox 122.0,,,08-07-2024 15:31:15,08-07-2024 15:31:16,0.728s,PASSED
"println(""The fullname should be filled"")",Firefox 122.0,,,08-07-2024 15:31:16,08-07-2024 15:31:16,0.010s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_email""), email)",Firefox 122.0,,,08-07-2024 15:31:16,08-07-2024 15:31:17,0.642s,PASSED
"println(""The email should be filled"")",Firefox 122.0,,,08-07-2024 15:31:17,08-07-2024 15:31:17,0.007s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password""), password)",Firefox 122.0,,,08-07-2024 15:31:17,08-07-2024 15:31:17,0.490s,PASSED
"println(""The password should be filled"")",Firefox 122.0,,,08-07-2024 15:31:17,08-07-2024 15:31:17,0.006s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password_confirmation""), confirmpassword)",Firefox 122.0,,,08-07-2024 15:31:17,08-07-2024 15:31:18,0.342s,PASSED
"println(""The confirm password should be filled"")",Firefox 122.0,,,08-07-2024 15:31:18,08-07-2024 15:31:18,0.008s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_btn login_btn""))",Firefox 122.0,,,08-07-2024 15:31:18,08-07-2024 15:31:20,2.093s,PASSED
"println(""The login button should be clickable"")",Firefox 122.0,,,08-07-2024 15:31:20,08-07-2024 15:31:20,0.007s,PASSED
ActualLoginPage = getUrl(),Firefox 122.0,,,08-07-2024 15:31:20,08-07-2024 15:31:20,0.016s,PASSED
"ExpectedLoginPage = ""https://task-buddy-d414881265e1.herokuapp.com/dashboard""",Firefox 122.0,,,08-07-2024 15:31:20,08-07-2024 15:31:20,0.004s,PASSED
"verifyMatch(ActualLoginPage, ExpectedLoginPage, false)",Firefox 122.0,,,08-07-2024 15:31:20,08-07-2024 15:31:20,0.011s,PASSED
"ActualDashboardPage = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_taskbuddy_title""))",Firefox 122.0,,,08-07-2024 15:31:20,08-07-2024 15:31:20,0.341s,PASSED
"ExpectedDashboardPage = ""Task Buddy""",Firefox 122.0,,,08-07-2024 15:31:20,08-07-2024 15:31:20,0.007s,PASSED
"verifyMatch(ActualDashboardPage, ExpectedDashboardPage, false)",Firefox 122.0,,,08-07-2024 15:31:20,08-07-2024 15:31:20,0.007s,PASSED
"takeScreenshot(""C:\Taskbuddy\Dashboard.png"")",Firefox 122.0,,,08-07-2024 15:31:20,08-07-2024 15:31:21,0.530s,PASSED
Start listener action : AfterTestCase,Firefox 122.0,,,08-07-2024 15:31:21,08-07-2024 15:31:22,1.245s,PASSED
,,,,,,,
Test Cases/Registration/TC002_Create a new account with invalid email,Firefox 122.0,,,08-07-2024 15:31:22,08-07-2024 15:31:39,17.569s,PASSED
Start listener action : BeforeTestCase,Firefox 122.0,,,08-07-2024 15:31:22,08-07-2024 15:31:27,4.566s,PASSED
navigateToUrl(URL),Firefox 122.0,,,08-07-2024 15:31:27,08-07-2024 15:31:31,3.809s,PASSED
ActualURL = getUrl(),Firefox 122.0,,,08-07-2024 15:31:31,08-07-2024 15:31:31,0.032s,PASSED
"ExpectedURL = ""https://task-buddy-d414881265e1.herokuapp.com/""",Firefox 122.0,,,08-07-2024 15:31:31,08-07-2024 15:31:31,0.006s,PASSED
